Customer,E_Wi,SD_Wi
449,9.482237482754586,8.914629425668114
450,9.397994450882743,8.701225301608199
451,9.419501052219385,8.664588644941542
452,9.266028253338412,8.444543301141572
453,9.275860034730465,8.548692440626668
454,9.217062541296611,8.50894172147223
455,9.197726591801223,8.45483265265004
456,9.225296968293554,8.467551662849308
457,9.396414764480324,8.303685854036521
458,9.143801542860501,8.159716308162572
459,9.007220330398486,8.024981674919077
460,9.088220418996352,8.172314956390178
461,9.178405534983586,8.423946935097891
462,9.176200390374886,8.279469826457655
463,9.226586448571286,8.3016975206136
464,9.163053015108193,8.202992611215281
465,8.978104088425594,8.245159767535661
466,8.953343158108785,8.253324235146524
467,8.912557767573219,8.513829496594152
468,8.967272297111291,8.482633893793354
469,8.919401485007858,8.46485124284502
470,9.075267828403062,8.516238129131514
471,8.961526186859675,8.850797755131003
472,8.776850020859408,8.830964816822036
473,8.844302617860087,8.880152557817736
474,8.748629169069648,8.857319342788564
475,8.84637956935915,8.876204998914508
476,8.913776039925196,8.923630351638552
477,8.718742374674356,8.87370636027414
478,8.733697786576203,8.933872410711537
479,8.570149998220868,8.847527259003433
480,8.65298284676734,8.80618788017647
481,8.659048465226101,8.761151361994601
482,8.687222478912826,8.55868017647799
483,8.749785633085413,8.479199142777547
484,8.780478470921032,8.443245732002625
485,9.065455728153411,8.512420165868521
486,9.082898335774816,8.44788340775269
487,9.234017221289044,8.772188447717507
488,9.334015620689673,8.796521087362866
489,9.362002795883221,8.603659629830954
490,9.404034298948284,8.630644295950372
491,9.551199841436885,8.681572562576731
492,9.379037236620483,8.819275494177834
493,9.42936305594219,8.697470999585251
494,9.441350355569927,8.730480945383613
495,9.433977617304548,8.180603716836785
496,9.370903891595582,8.357029710621976
497,9.39669383459793,8.503558705795342
498,9.25058959044449,8.574029019861321
499,9.284857961633541,8.862346613124597
500,9.314292764451059,8.834952285890568
